first_name,last_name,date_of_birth,gender,ssn,address,state,zip_code,income,credit_score,employment_status,loan_amount,loan_type,loan_status,num_existing_loans,default
Daniel,Hayes,7/26/1961,Female,430-49-4100,"7720 Michael Shoals Suite 112, New Regina, MN 87374",Ohio,33010,53997.52,548,Self-employed,91100.79,Credit Card Loan,Running,4,1
Jody,Guerra,11/11/1991,Male,125-65-9910,"47443 Jose Green, North Veronica, TN 42217",California,79680,44019,345,Student,35275.67,Personal Loan,Completed,5,1
Ashley,Rice,7/29/1990,Male,436-31-9098,"8860 Henry Parkways, New Raymond, MN 13302",Maryland,26578,29416.51,811,Employed,94250.64,Credit Card Loan,Completed,5,1
Richard,Lee,9/20/1975,Male,109-13-2468,"41162 Moreno Fords Suite 404, Rochafort, DE 56893",North Dakota,60952,158592.83,608,Student,7763.55,Credit Card Loan,Completed,5,0
Justin,Faulkner,11/8/1998,Female,002-31-6190,"829 Robinson Lane, East Hannah, HI 90836",Wisconsin,37614,45093.58,334,Self-employed,49144.43,Credit Card Loan,Running,3,1
Dana,Murphy,8/6/1993,Female,269-28-6627,"358 Snyder Square, Gibsonhaven, WI 51421",Arkansas,28622,118982.3,799,Unemployed,43220.53,Credit Card Loan,Completed,2,1
Cynthia,Buckley,6/26/1986,Female,660-76-5003,"93431 Jacob Pines, Colliertown, ID 52066",Idaho,59973,158939.13,786,Retired,15784.53,Home Loan,Completed,3,0
Amber,Garcia,12/22/1956,Female,057-44-4285,"6697 Stephanie Way Suite 617, Port Natashafurt, TX 27322",Nebraska,70448,125570.21,843,Student,23474.91,Home Loan,Completed,4,0
Anna,Webb,11/4/1962,Male,561-53-1924,"690 James Islands Apt. 197, North Nicolefurt, ID 64834",North Dakota,12457,52647.63,595,Student,52571.65,Auto Loan,Completed,4,0
Sarah,Cox,9/19/1972,Female,605-25-4906,"909 Brian Unions Apt. 775, Lake Brandonshire, DC 66893",Texas,10908,25576.19,680,Unemployed,48745.6,Home Loan,Completed,2,1
Adam,David,6/30/1978,Female,779-37-9597,"6707 Thompson Dale Apt. 268, Romerotown, KS 82932",Nebraska,18392,80681.54,779,Student,77733.81,Personal Loan,Completed,2,0
Julia,Morse,5/16/2002,Female,043-66-6768,"789 Terry Square Suite 819, South Robertborough, WA 15168",Hawaii,68125,188937.29,373,Employed,97322.85,Auto Loan,Running,4,1
Katherine,Jimenez,4/22/1999,Female,301-93-5129,"52804 Li Walks Apt. 507, East Derrick, VA 73099",Michigan,99020,163413.71,772,Retired,13681.19,Education Loan,Completed,0,1
Brent,Brown,3/8/1988,Male,295-81-4325,"66288 Proctor Mountain Apt. 539, Lake Jeremiahton, ND 51619",Massachusetts,77402,155955.8,794,Student,12238.93,Auto Loan,Completed,5,0
Carlos,Thomas,4/20/1995,Male,222-02-1079,"125 Wells Flat Suite 477, Courtneyview, IA 35604",California,77784,168484.55,778,Unemployed,16138.2,Personal Loan,Running,3,1
Mary,Underwood,10/21/1954,Male,473-39-2594,"04328 Simmons Track Suite 477, East Theresabury, AL 76299",Arkansas,29634,145394.74,578,Unemployed,32641.35,Education Loan,Running,3,1
Calvin,Jones,12/26/1995,Female,294-71-4035,"8453 Garcia Trail Suite 888, East Melissachester, DE 01390",Alabama,39373,88353.74,447,Unemployed,39858.5,Education Loan,Running,3,1
Casey,Ford,4/17/1968,Female,769-29-5066,"03654 Meyers Ville Apt. 744, New Joseph, MN 74087",South Carolina,55036,48480.99,651,Unemployed,31130.17,Auto Loan,Completed,3,1
Stacey,Mitchell,12/9/1970,Male,686-16-9214,"3915 Thomas Grove Apt. 451, Lauraport, SD 81416",North Carolina,63658,113394.65,459,Self-employed,16527.13,Credit Card Loan,Completed,3,1
Tonya,Perry,8/20/1966,Male,035-24-3960,"4146 Gill Curve Suite 852, Danielside, MS 98910",Georgia,26623,25325.37,721,Employed,89775.51,Personal Loan,Running,3,1
Paula,Lopez,4/18/1970,Female,414-23-6092,"37679 Patricia Corners Suite 723, West Darrenberg, LA 82298",Nebraska,5437,31897.37,614,Student,15605.18,Education Loan,Running,3,0
Amanda,Williams,12/9/1957,Female,541-59-8243,"1519 Teresa View, Boyershire, ID 36895",North Dakota,57554,152886.67,632,Self-employed,54679.25,Personal Loan,Running,3,1
Amy,Soto,10/2/1969,Male,626-88-4586,"12060 Cindy Station Suite 839, North Mistystad, WV 25338",Ohio,56516,100450.76,697,Employed,50486.52,Education Loan,Running,0,0
Eugene,Gonzalez,2/8/1983,Female,649-23-3161,"Unit 0000 Box 8575, DPO AE 08443",Georgia,53710,31051.09,647,Student,32256.71,Auto Loan,Running,1,0
Robert,Gilbert,11/14/1959,Male,342-20-0431,"PSC 5244, Box 4252, APO AP 34614",Idaho,46758,59312.61,547,Employed,42684.82,Credit Card Loan,Running,1,1
Jennifer,Cunningham,2/1/1978,Female,772-18-8903,"3426 Katherine Vista, Brandyburgh, MD 81017",Arizona,57301,180726.82,832,Student,84778.09,Personal Loan,Completed,0,0
Steven,Barry,3/8/2004,Male,707-95-3368,"84619 Cabrera Squares, Abigailland, PA 29346",California,3542,184444.43,709,Retired,77151.34,Home Loan,Running,4,0
William,Walters,12/6/1997,Female,877-01-4613,"597 Erin Groves Apt. 275, South Luisland, MN 03903",Delaware,20519,146564.28,330,Student,94434.89,Credit Card Loan,Completed,3,1
Michael,Warren,10/19/1981,Female,320-91-1465,"249 Ayala Tunnel Suite 006, Lake Paul, MS 43880",Pennsylvania,5685,115885.17,649,Employed,69081.9,Credit Card Loan,Running,0,0
John,Allen,2/7/1998,Male,662-51-9260,"007 Krause Avenue Suite 951, Wallacechester, GA 56263",Indiana,85423,168857.67,330,Employed,33513.13,Auto Loan,Completed,3,1
Darlene,Gonzalez,7/14/1998,Female,257-38-4983,"1126 Denise Pine, Lake Laurahaven, NJ 85030",New Jersey,68100,65412.88,447,Unemployed,67996.77,Personal Loan,Completed,4,1
Amanda,Mack,7/14/2001,Female,027-05-6775,"4162 Stephenson Forest Suite 313, Toddtown, AR 11271",South Dakota,46997,100886.86,706,Student,36094.83,Home Loan,Running,4,0
Natasha,Zavala,4/27/1998,Male,303-94-6302,"83137 Amber Burgs Apt. 061, West Rachel, CA 27584",Kentucky,6226,159522.08,724,Student,98520.09,Credit Card Loan,Running,1,0
Lisa,Johnson,2/15/1994,Female,822-99-7578,"990 Mary Union, Pottsfurt, NM 95643",Maryland,24670,136214.46,778,Self-employed,11910.36,Auto Loan,Completed,5,0
Stephen,Hernandez,5/2/1966,Female,039-30-7795,"07629 Renee Village, East Richardmouth, TX 43516",Oregon,69091,75728.83,386,Unemployed,32273.26,Auto Loan,Completed,2,1
Luis,Nolan,9/26/1973,Male,463-44-0281,"82761 Megan Square, North Beverlyhaven, VA 57471",Nebraska,27139,35920.04,600,Unemployed,45316.5,Education Loan,Completed,2,1
Elizabeth,Bryant,12/8/1975,Female,793-91-5585,"25514 White Ville, Claudiabury, MA 21475",Nevada,48140,153044.19,680,Retired,48832.73,Auto Loan,Running,4,0
Tamara,Hester,2/6/1960,Female,330-14-1188,"2946 Victoria Center Apt. 436, Paulborough, AK 56612",Massachusetts,51824,74024.93,643,Employed,40099.69,Education Loan,Completed,4,0
Deanna,Barnes,11/15/1966,Male,842-84-2891,"USNS Howard, FPO AE 10051",Idaho,91628,99428.06,832,Retired,37657.39,Auto Loan,Running,0,0
Jacqueline,Kennedy,3/23/1956,Male,288-74-9391,"6120 Walker Keys Apt. 844, Lake Rebeccafurt, MA 23888",Alabama,18289,49054.91,449,Student,82648.14,Auto Loan,Running,1,1
Mary,Taylor,10/24/1972,Female,692-17-0106,"1530 Alan Center, Kylebury, AR 56223",North Dakota,60525,185401.56,761,Unemployed,33452.05,Home Loan,Completed,4,1
Amanda,Reese,1/31/1964,Female,006-81-5247,"437 Chan Ford, Lake Andrea, OH 29615",Arkansas,55679,115231.69,342,Self-employed,62391.88,Credit Card Loan,Completed,4,1
Cindy,Roberts,9/19/1987,Male,491-14-3479,"04286 Angela Stream, East Justinton, OH 48545",Maryland,80961,93428.93,370,Employed,61105.95,Auto Loan,Running,3,1
Christopher,Kennedy,7/30/1985,Female,749-94-5716,"09891 Ronald Mount Suite 829, Hollowaytown, DE 31475",New York,40217,69416.08,846,Retired,37332.12,Auto Loan,Running,4,1
Nathan,Hart,10/18/1997,Male,288-18-7441,"4692 Molina Ford Apt. 872, New Brian, PA 20303",Oregon,43854,160979.35,776,Self-employed,83959.79,Personal Loan,Running,1,0
Aaron,Wyatt,10/12/1969,Male,526-89-2924,"Unit 9780 Box 3501, DPO AA 14482",Washington,32546,176979.27,621,Employed,23127.53,Auto Loan,Completed,1,0
Jonathan,Tate,4/2/1967,Male,864-01-6478,"913 Colin Harbors, Port Suzanne, MN 66277",Texas,30095,177419.15,564,Student,84242.32,Auto Loan,Running,3,1
Tony,Ford,8/14/1961,Female,433-54-3507,"997 Edwards Shoal, Kristinaland, UT 07985",Maryland,42718,155434.3,802,Student,21666.37,Auto Loan,Completed,1,0
Stephen,Garrison,2/28/1985,Male,129-51-8141,"764 Clay Valleys Suite 073, Rosschester, OR 13756",Oklahoma,43723,162494.01,318,Employed,64179.19,Auto Loan,Completed,0,1
Michael,Davis,5/20/1999,Female,642-01-1956,"525 Peter Brook Suite 241, Allenmouth, TN 41963",Virginia,52128,108934.67,459,Self-employed,22491.26,Credit Card Loan,Completed,5,1
Gary,Smith,5/30/1979,Female,073-12-5476,"03763 Thomas Drives, Lake Bridget, PA 56748",Kansas,41242,29275.38,316,Employed,91666.85,Home Loan,Completed,4,1
Mary,Booth,8/22/1959,Male,296-98-5134,"Unit 8606 Box 4641, DPO AP 95917",West Virginia,4308,84508.6,453,Unemployed,58786.95,Credit Card Loan,Running,4,1
Donald,Douglas,8/29/1991,Female,626-02-9280,"682 Snyder Ford, Candacefort, DC 28880",Ohio,27453,126661.68,505,Student,56895.31,Auto Loan,Completed,4,1
Joseph,Johnson,11/29/1974,Female,488-71-8639,"31682 Douglas Burg Apt. 474, Jessicafort, VA 16656",Arizona,29765,145222.5,804,Student,57266.24,Home Loan,Completed,2,0
William,Stanley,3/28/1961,Female,280-39-3030,"09734 Rivera Rapid Apt. 748, North Lisaborough, IN 25676",Kansas,1419,90382.32,550,Retired,24535.48,Auto Loan,Running,3,1
Matthew,Freeman,12/3/1969,Male,322-72-8966,"4972 Lynch Spurs, East Alexis, MD 50755",Florida,57060,159089.57,789,Self-employed,43878.73,Home Loan,Completed,3,0
Matthew,Copeland,1/15/1998,Male,040-50-5542,"71966 Hernandez Drives Suite 715, Stephaniemouth, MS 08264",Montana,47891,109840.16,514,Employed,57274.77,Personal Loan,Completed,1,1
Sabrina,Davis,11/3/1990,Female,512-39-4949,"464 Finley Fall, Jeremystad, KS 25357",Virginia,3724,128282.73,308,Employed,48819.1,Auto Loan,Completed,3,1
Elizabeth,Velez,12/16/1977,Female,221-01-7980,"49142 Bray Parkways, Christopherland, UT 50665",Utah,98648,195171.16,339,Employed,91780.69,Education Loan,Running,2,1
Stephanie,Turner,12/3/1982,Male,720-76-8147,"192 Alan Prairie Apt. 435, Schmittburgh, NJ 55738",Utah,44233,142952.99,395,Unemployed,62522.53,Home Loan,Completed,0,1
Gabriela,Jackson,8/29/1981,Female,790-57-2573,"USNV Henry, FPO AP 14579",Alaska,22997,153204.26,362,Retired,26453.48,Auto Loan,Running,4,1
Richard,Hudson,4/27/1983,Male,275-81-5278,"2577 Simon Valleys, New Lori, OR 86723",Colorado,11802,135330.62,656,Employed,76177.96,Auto Loan,Running,0,0
Annette,Gross,6/7/1963,Female,695-21-5234,"PSC 5960, Box 1557, APO AA 10682",South Carolina,13020,89634.34,550,Employed,52327.48,Auto Loan,Running,0,1
Jessica,Johnson,3/15/2000,Female,356-19-4326,"44502 Eduardo Prairie, Mistychester, CO 08897",Alaska,64534,21208.95,547,Self-employed,33705.07,Credit Card Loan,Completed,1,1
Thomas,Griffin,7/16/1965,Male,535-69-4118,"5126 Gibbs Skyway Suite 867, North Michelleville, PA 99129",Maryland,74423,78179.23,503,Student,31644.38,Personal Loan,Completed,2,1
Christine,Warren,12/25/1968,Male,090-67-6358,"07248 Angela Keys Apt. 916, New Richardborough, NY 63972",Oregon,94781,185603.55,756,Employed,16546.35,Education Loan,Completed,3,0
William,Hines,1/3/2004,Female,301-24-7833,"9958 Nicholas Hill Suite 422, Port Holly, SC 97922",Michigan,88631,105010.38,307,Self-employed,84991.76,Education Loan,Completed,3,1
Tara,Hubbard,4/23/2000,Male,622-03-3920,"770 Hamilton Glens Apt. 598, South Keithborough, NE 90019",Wyoming,64820,88550.85,820,Unemployed,46415.91,Credit Card Loan,Running,4,1
Christina,Ritter,7/14/1970,Male,032-13-9061,"69845 Sherry Parks Suite 965, Andersonberg, OR 69903",Missouri,97383,133666.56,740,Self-employed,81611.02,Education Loan,Running,4,0
Elizabeth,Morris,7/21/1990,Male,688-05-2288,"9618 Hayes Camp, Reynoldsmouth, MA 78438",Vermont,918,165525.85,552,Self-employed,73262.88,Home Loan,Completed,1,1
Carolyn,Graham,5/5/1958,Female,124-41-1616,"615 Gibbs Wall, West Michaela, MT 24162",Illinois,25391,60144.29,682,Retired,59962.36,Auto Loan,Running,4,0
Brandy,Moore,11/25/1962,Female,193-12-5050,"163 Kelsey Pass, New Anita, MT 08856",California,43161,94732.36,496,Employed,62674.86,Credit Card Loan,Completed,4,1
David,Sandoval,11/16/1967,Female,884-28-6108,"64463 Savannah Fork, Marshallfort, VT 09773",Oklahoma,11317,63535.04,820,Retired,75462.85,Personal Loan,Completed,4,0
Amber,Hansen,1/27/1991,Male,291-64-8977,"Unit 5506 Box 9722, DPO AP 53045",North Dakota,94690,115714.07,794,Unemployed,6602.7,Personal Loan,Running,4,1
Mike,Harrison,4/13/1976,Female,879-67-5510,"1578 Austin Village, Gardnerside, MA 33224",Idaho,36871,103334.09,667,Employed,44664.12,Education Loan,Running,0,1
James,Blair,6/26/1957,Male,863-36-0321,"26906 Hill Trail, Lake Brittney, MA 68758",Iowa,80119,168828.64,568,Self-employed,63653.4,Auto Loan,Running,4,1
Ian,York,8/11/2000,Male,216-27-6421,"370 Tara Ports, West Kellyview, CO 56140",Nebraska,65645,101886.04,649,Unemployed,84981.83,Education Loan,Completed,3,1
Rebecca,Perez,6/21/1980,Male,693-60-0861,"41598 Espinoza Canyon Apt. 860, Port Wendy, HI 34761",Oregon,18198,185128.26,345,Employed,56645.28,Auto Loan,Running,4,1
Rachel,Olson,6/2/1980,Male,102-97-1787,"134 Greer Dam Apt. 530, New Elizabeth, MO 81524",California,77435,188088.78,537,Employed,57401.48,Education Loan,Running,5,1
Mark,Brown,12/24/1958,Male,304-68-7856,"999 Carroll Station, Elizabethmouth, AL 46314",Iowa,79076,71808.99,300,Student,85774.19,Credit Card Loan,Running,3,1
Meagan,Juarez,5/29/1997,Female,839-59-7391,"802 Lauren Hill Apt. 584, Whiteborough, LA 19360",Florida,88137,70910.03,336,Student,25245.61,Credit Card Loan,Completed,2,1
Teresa,Hanson,8/15/1970,Male,480-28-0420,"69810 Ray Courts, Port Tammy, KY 55121",Arizona,63794,96759.69,493,Self-employed,44687.92,Credit Card Loan,Running,1,1
Jennifer,Jefferson,9/12/2002,Male,142-47-0510,"12466 Barry Camp Apt. 823, New Williefurt, AR 08464",Alaska,46808,134119.05,558,Employed,49755.04,Credit Card Loan,Completed,3,1
Paul,Price,8/4/1977,Female,706-97-0278,"02564 Ross Forge Suite 559, South Albert, TN 09409",North Carolina,24823,133297.05,378,Unemployed,85248.96,Home Loan,Running,2,1
Kimberly,Welch,7/4/1963,Female,053-09-7046,"53856 Ashley Curve, Davidmouth, MA 95319",Connecticut,91791,126607.36,636,Employed,32133.77,Personal Loan,Completed,2,0
Jeremy,Heath,11/12/1979,Female,624-48-2623,"7461 Hall Lake Suite 073, North Bryan, PA 36633",Montana,8620,114943.93,408,Unemployed,7167.56,Home Loan,Running,3,1
Andrew,Marshall,7/31/1973,Female,372-10-1891,"3382 Castaneda Walks, Oliverfort, NH 78445",Missouri,73861,64956.85,689,Self-employed,15276.71,Home Loan,Completed,2,0
Gregory,Adams,12/30/1970,Male,782-58-1318,"284 Calvin Fall Suite 401, New Amy, UT 65056",South Carolina,85675,36024.58,723,Employed,73558.21,Education Loan,Completed,2,1
Angela,Peterson,8/17/1958,Male,247-63-8298,"Unit 1796 Box 9110, DPO AA 98437",Kentucky,94296,62132.4,329,Employed,93447.96,Personal Loan,Completed,3,1
Greg,Payne,3/29/1998,Female,725-50-8685,"8922 Nelson Port Apt. 775, East Tonyaport, WA 23928",Wisconsin,17013,21805.39,547,Employed,77534.15,Home Loan,Completed,4,1
Michelle,Ramos,10/15/1979,Male,516-57-0686,"6137 Elizabeth Glens, Cohenmouth, MN 12030",Oklahoma,23781,168239.32,332,Student,14519.38,Home Loan,Running,3,1
Tony,Hudson,2/3/1976,Female,245-22-4962,"4033 Bell Keys Apt. 015, Karaville, ME 76839",Rhode Island,73949,61484.59,407,Employed,27016.13,Education Loan,Running,4,1
Lee,Bradley,11/14/1964,Female,042-11-1464,"04700 Christina Lane Suite 414, Harmonmouth, TN 08432",Pennsylvania,12142,93952.22,379,Retired,89041.22,Home Loan,Completed,4,1
Kristen,Gray,8/5/2001,Female,099-68-4995,"427 David Mission, West Patrick, WY 55675",Florida,59994,185422.18,702,Unemployed,87073.64,Education Loan,Completed,5,1
Martin,Castillo,2/9/1993,Male,589-63-4641,"3578 Sampson Mall Suite 997, New Carolynfort, HI 88613",Virginia,32975,49623.19,688,Unemployed,31185.88,Auto Loan,Running,5,1
Felicia,Hernandez,11/28/1999,Female,474-36-5655,"034 Estrada Drive Suite 343, Beckerbury, NY 06797",Michigan,42863,195692.5,710,Retired,94777.49,Auto Loan,Completed,1,0
Juan,Morgan,6/10/1992,Female,103-41-6051,"PSC 4823, Box 6433, APO AA 29048",South Carolina,44222,153249.67,372,Unemployed,12679.59,Home Loan,Completed,2,1
Sharon,Bridges,2/26/1986,Female,183-59-5370,"304 Christopher Lake Suite 493, New Ericborough, AR 40089",Indiana,78593,79182.82,762,Retired,15524.4,Education Loan,Running,3,0
Brandon,Brown,7/19/1998,Male,586-25-1946,"5436 Amanda Lights Apt. 576, Marisashire, NY 65783",Oklahoma,56436,60349.4,601,Retired,28058.68,Credit Card Loan,Completed,2,1
Daniel,Gray,6/8/1967,Female,645-07-5088,"Unit 5739 Box 0194, DPO AE 58958",Virginia,29116,97890.98,381,Unemployed,50886.71,Auto Loan,Running,1,1
Jessica,Richmond,1/15/1983,Male,736-63-1712,"226 Lee Cape, Andrewberg, LA 48452",Louisiana,70535,95380.23,455,Self-employed,15687.32,Education Loan,Running,3,1
Danielle,Lawson,9/10/1954,Male,412-76-1467,"PSC 3334, Box 4730, APO AA 43898",Florida,22915,34900.68,663,Retired,30802.67,Education Loan,Completed,2,0
Darlene,Simon,7/3/1958,Male,315-18-6092,"USCGC Martin, FPO AE 26581",Virginia,63776,56624.43,469,Unemployed,73542.25,Home Loan,Running,4,1
Molly,Weiss,12/12/1997,Female,751-84-4684,"85178 Torres Cliff Apt. 713, Michaelchester, IL 94887",Texas,35796,109602.39,580,Employed,10832.28,Home Loan,Running,0,0
Jacob,Dodson,7/31/1960,Female,323-12-6350,"72528 Hill Islands Suite 794, Lake Miguelshire, MD 27773",Massachusetts,71985,134700.15,837,Student,44688.93,Auto Loan,Completed,3,0
Julian,Johnson,5/11/1966,Male,281-80-8351,"114 Molina Way, Jayport, IL 49927",Illinois,93178,62850.59,442,Employed,94863.66,Auto Loan,Running,5,1
Sonya,Brown,5/17/1986,Female,097-96-2460,"47186 Daniel Wells, North Samantha, MN 69022",Maine,62345,174449,636,Student,80457.88,Credit Card Loan,Completed,5,0
Erica,Roach,1/9/1965,Male,087-49-6621,"6700 Garza Forks, North Susan, DC 12124",Ohio,40766,148929.75,627,Unemployed,42689.44,Education Loan,Completed,5,1
Brittany,Morales,4/28/1961,Female,416-21-2601,"29923 Buck Streets, South Taraport, WI 83467",South Carolina,61515,120031.94,324,Unemployed,75213.29,Education Loan,Completed,5,1
Michael,Thompson,4/9/1997,Male,702-20-0569,"5768 Stephanie Meadow Apt. 419, New John, IN 90672",Minnesota,56319,118873.18,844,Unemployed,81870.84,Education Loan,Completed,4,1
John,Branch,7/2/1961,Female,507-67-6585,"463 Summer Flats, West Brandi, NH 02579",Iowa,92452,173300.96,489,Self-employed,20309.51,Auto Loan,Running,4,1
Raymond,Davis,9/9/1956,Male,648-37-4030,"335 Kelly Lock, Lake Annaport, KS 50382",Nebraska,69757,21131.39,344,Unemployed,15918.7,Education Loan,Running,2,1
Joel,Smith,11/7/1989,Male,620-22-1058,"924 Carol Mews Apt. 462, Port Michaelton, TX 38259",Delaware,64890,196005.17,573,Self-employed,89247.24,Home Loan,Running,5,1
Larry,Griffith,8/17/1982,Male,641-37-7101,"03008 James River Apt. 525, Port Ashleyport, NE 41541",Illinois,52237,156254.65,599,Student,9355.07,Education Loan,Running,4,0
Jacob,Lewis,10/28/1975,Female,270-07-5921,"1946 Brooks Mountain Suite 814, West Christopherland, NY 67242",New Jersey,78421,122096.49,479,Unemployed,94013.58,Auto Loan,Completed,4,1
Kristina,Kim,12/17/1973,Female,448-95-4608,"81470 Hernandez Center Suite 364, Lake Dana, WV 39911",Alabama,80521,149018.05,444,Retired,79112.35,Education Loan,Completed,1,1
Thomas,Woods,2/11/1969,Male,116-65-8607,"849 Davis Light, East Tiffanytown, VA 31726",Mississippi,89511,135048.3,378,Unemployed,56415.97,Credit Card Loan,Running,5,1
Jennifer,Mora,9/22/1960,Female,725-32-2527,"Unit 3883 Box 6897, DPO AE 10624",Utah,63689,52889.19,552,Student,50436.17,Credit Card Loan,Completed,0,1
Jeffery,Wilson,12/15/1981,Male,682-12-9585,"3666 Judith Valley, Cindychester, PA 09495",New Hampshire,63121,31095.03,542,Employed,97473.74,Auto Loan,Completed,4,1
Carol,Foster,7/28/1999,Female,743-13-1265,"551 Tran Views, South Erica, OR 28450",North Carolina,98240,172374.21,569,Retired,75606.94,Credit Card Loan,Running,0,1
Emily,Martin,6/28/2001,Male,421-65-7417,"USCGC Wilson, FPO AP 13855",Oklahoma,87572,188686.79,746,Self-employed,69123.07,Credit Card Loan,Running,0,0
Bryan,Garrett,1/7/1969,Male,852-46-4311,"7764 Wells Overpass Apt. 270, North Michael, LA 77170",Delaware,15409,191984.18,626,Self-employed,63081.94,Credit Card Loan,Completed,0,0
Tammy,West,1/7/1962,Male,551-52-4531,"07563 Rojas Skyway Apt. 891, Deborahstad, OK 30154",Hawaii,29404,183559.18,326,Self-employed,75349.49,Credit Card Loan,Running,3,1
Bernard,Gibson,6/24/1980,Male,528-53-7853,"PSC 3612, Box 2782, APO AE 16375",Indiana,81003,185637.2,829,Retired,20484.54,Credit Card Loan,Running,2,0
Robert,Stewart,3/4/1985,Male,555-72-4786,"6928 Brandy Island, New Richardmouth, MA 30578",Vermont,28954,20215.86,829,Student,83486.7,Auto Loan,Running,4,1
Michelle,Lowe,3/17/2004,Female,393-02-1942,"2710 Smith Drive, North Tammymouth, AL 31225",North Carolina,41156,72090.85,766,Self-employed,37044.47,Home Loan,Completed,4,1
Keith,Bates,3/18/1955,Female,384-90-2025,"32816 Little Islands Apt. 186, Andrewton, NM 79229",Colorado,35667,187410.12,455,Retired,82885.83,Credit Card Loan,Completed,4,1
Isabella,Bell,9/22/1980,Female,166-51-2956,"Unit 2652 Box 5834, DPO AE 29229",Missouri,67007,62167.03,352,Self-employed,16378.64,Personal Loan,Completed,2,1
Cynthia,Lewis,12/3/1963,Female,870-70-5381,"40234 Shawn Meadows, South Samuelfort, SC 28441",Michigan,75000,49385.46,400,Unemployed,71828.76,Auto Loan,Completed,2,1
Jesse,Mooney,1/9/1987,Female,449-31-9783,"95470 Clark Forest Apt. 278, Port Edwardbury, OR 27781",Utah,76747,179106.17,830,Retired,26030.86,Credit Card Loan,Running,5,0
Samantha,Freeman,4/24/1978,Male,670-45-3806,"5278 Berry Lakes, Sandersburgh, OH 28560",Pennsylvania,96818,96239.21,832,Self-employed,44407.65,Education Loan,Running,0,0
Amy,Benitez,11/20/1975,Male,850-23-9632,"19317 Moore Views, Martinezland, IL 44049",Vermont,31986,132755.51,490,Unemployed,44648.21,Home Loan,Completed,3,1
Krista,Willis,6/15/1969,Male,180-62-6590,"PSC 2043, Box 8306, APO AE 55752",Oklahoma,78806,97275.46,783,Self-employed,49182.26,Home Loan,Running,4,0
Cody,Allen,4/8/1973,Male,145-01-5448,"513 Stafford Plaza Apt. 796, Jonesport, KS 05398",Massachusetts,18477,99951.9,386,Retired,61700.14,Education Loan,Completed,1,1
Christopher,Fischer,8/1/1987,Female,800-14-3668,"3907 Cuevas Camp Suite 093, Johnville, FL 87613",California,38668,127406.18,673,Employed,30042.43,Home Loan,Completed,1,0
Lori,Vargas,9/15/1987,Female,305-53-8427,"Unit 5381 Box 7683, DPO AA 37009",California,44224,25201.6,622,Employed,96474.09,Education Loan,Running,0,1
Travis,Munoz,10/27/1987,Female,060-03-0495,"8391 Johnson View, Kristifurt, DE 94577",Connecticut,88359,181138.96,303,Self-employed,33709.69,Personal Loan,Running,5,1
Troy,Perry,9/19/1993,Female,534-02-9459,"PSC 8993, Box 2919, APO AP 36040",Oklahoma,20119,82092.84,489,Retired,12273.59,Personal Loan,Completed,5,1
Morgan,Goodman,8/26/1976,Female,800-53-8237,"114 Cynthia Shores Apt. 455, Barbarashire, NY 18375",Ohio,67306,21433.93,467,Unemployed,52649.06,Home Loan,Running,5,1
Heidi,Miller,9/9/1954,Female,064-65-1821,"942 Myers Prairie Suite 601, Port Timothyview, VA 71821",Michigan,38936,29634.64,654,Employed,24822.8,Education Loan,Running,0,1
Molly,Moss,4/13/1955,Female,244-20-2754,"99798 Aaron Orchard, Zacharystad, AK 96143",North Carolina,47997,77084.82,804,Employed,85633.44,Credit Card Loan,Running,5,0
Jill,Owens,3/11/1963,Male,769-25-8678,"PSC 1979, Box 6096, APO AE 65738",Massachusetts,16427,85907.45,746,Retired,52959.01,Personal Loan,Completed,2,1
Charles,Miller,12/29/1983,Female,463-06-3644,"2588 Randall Alley Apt. 885, Port John, DE 55138",New York,40654,21308.05,482,Employed,75108.34,Home Loan,Running,5,1
Carlos,James,8/23/1961,Female,773-80-2056,"835 Jeffrey Run Suite 817, North Mistystad, NC 02108",South Dakota,65201,25697.24,524,Student,56891.59,Personal Loan,Completed,2,1
Sandra,Poole,9/10/1995,Female,628-86-8110,"98898 Teresa Corners, Evansshire, IL 17726",Texas,67577,33626.05,822,Unemployed,45436.51,Auto Loan,Running,3,1
Leah,Roy,3/9/1981,Female,680-53-7915,"83113 Davis Canyon, East Marialand, KY 23760",Massachusetts,73835,158671.4,628,Student,75018.27,Home Loan,Running,3,1
Cody,Mcdonald,4/15/1966,Female,184-46-2304,"9821 Moses Station Apt. 605, Brentville, MI 74210",Maryland,51190,78118.77,404,Student,51340.08,Credit Card Loan,Completed,3,1
Thomas,Williams,6/23/1998,Male,629-80-6875,"2415 Hayden Wall Apt. 759, Lisaside, AR 52833",Virginia,56976,57562.54,631,Employed,15684.38,Auto Loan,Running,2,0
Phillip,Maldonado,12/2/1993,Male,653-98-9457,"0236 Miller Street, New Lorrainemouth, TN 77295",Kansas,5153,171803.93,524,Self-employed,76871.87,Home Loan,Running,2,1
William,Moore,1/16/1997,Male,833-10-5508,"Unit 5678 Box 2082, DPO AE 48607",Texas,88846,140633.83,615,Retired,14997.54,Auto Loan,Completed,2,0
Jennifer,Grimes,12/26/1982,Female,400-49-6326,"1252 Tammy Garden Suite 911, Williamsville, VT 72230",California,66715,47832.98,574,Employed,26668.46,Education Loan,Completed,5,1
